,documentId,language,title,description,context,topic,hints,solutionSteps,replacements,resource,sampleSolutions,stepifier,word_count
2221,5vYSuVvzUtj7grNpHl2P9E,DE,r_e041b858_53a1_46cc_9111_f4e28fb8f1c5_4,"Kabel an elektrischen Geräten im Haushalt sind mit Kunststoff ummantelt. Erläutere, warum das so ist.",,,[],[],,,"['""Im Haushalt können Menschen unbeabsichtigt elektrische Leitungen berühren. Der elektrische Strom geht dann durch ihren Körper und den Fußboden in die Erde. Zur Sicherheit werden elektrische Leitungen mit Isolatoren (Nichtleitern) ummantelt. Heutzutage ist das meistens Kunststoff. Ein Isolator, der früher verwendet wurde, ist Porzellan. ""']",SENTENCE,15
2222,33QeKB7ZdGo7FnMVlGg2cR,DE,r_9c02f439_69d1_44d5_a44e_bd359df34776_2,"Überlandleitungen, die den elektrischen Strom von Kraftwerken in die Städte leiten, sind nicht mit Kunststoff ummantelt. Erkläre, warum das nicht nötig ist.",,,[],[],,,"['""Zum einen verlaufen die Hochspannungsleitungen sehr hoch oben, so dass die Gefahr, dass ein Mensch sie direkt berührt, sehr gering ist. Zum anderen verlaufen die Hochspannungsleitungen in Luft, die den elektrischen Strom sehr schlecht leitet. ""']",SENTENCE,22
2223,3tdzQYnZUNk9RSotrI19Jp,DE,r_69cc6e3c_10e1_492c_86e0_849b93c169fb_7_0,"Gib mit Hilfe des Farbkreises an, welche Mischfarbe die Addition folgender Farbpaare ergibt:   Blau und Grün","  Auf Smartphonedisplays gelingt es, Farben brillant darzustellen. Ein in einem Buch abgedrucktes Bild zeigt ebenfalls leuchtende Farben. Welche Technik steckt jeweils hinter der Darstellung der Farben?   Lampen mit grünem, rotem und blauem Licht erzeugen farbige Flecke auf einer Wand. Dort, wo sich die Flecke überschneiden, ergeben sich neue Farben. Das Übereinanderstrahlen verschiedener Lichtfarben nennt man additive Farbmischung . Wird grünes mit rotem Licht gemischt, ergibt sich gelbes Licht. Rot und Blau mischt sich zu Magenta. Grün und Blau ergibt Cyan. Und alle drei Farben zusammen ergeben weißes Licht. Diese sechs Farben lassen sich in einem Farbkreis darstellen. Jede Farbe des Farbkreises lässt sich additiv aus ihren beiden benachbarten Farben mischen. Sich gegenüberliegende Farben dieses Kreises nennt man Komplementärfarben . Sie ergeben bei der Mischung weißes Licht. Die Displays von Smartphones und Monitoren stellen Bilder durch viele einzelne Bildpunkte, sogenannte Pixel, dar. Jedes besteht aus drei Subpixeln, die die Farben Rot, Grün oder Blau darstellen können (RGB-Farb­raum). Aufbau eines Pixels aus drei Subpixeln Die Subpixel sind so klein, dass sie vom Auge nicht getrennt wahrgenommen werden können. Wenn alle Subpixel leuchten, erscheint das Pixel weiß. Wenn nur das rote und grüne Subpixel leuchten, nicht aber das blaue, erscheint das Pixel gelb. Durch unterschiedliche Helligkeiten der Subpixel lassen sich so Pixel in allen Farben erzeugen. Bei der subtraktiven Farbmischung blenden Farbfilter aus weißem Licht bestimmte Farben aus. Beleuchtet man z. B. ein Gelbfilter mit weißem Licht, so lässt es nur die Farbe Gelb passieren. Das Gelbfilter absorbiert die Komplementärfarbe Blau. Mit den Farbfiltern Gelb, Cyan und Magenta können wir subtraktiv Mischfarben erzeugen: Übereinander liegende gelbe und cyanfarbene Filter lassen nur noch Grün hindurch. Magenta und Cyan ergeben Blau, Magenta und Gelb ergeben Rot. Auf diese Weise entsteht derselbe Farbkreis. Das Übereinanderlegen aller drei Filter ergibt Schwarz, denn dann wird das Licht aller Farben herausgefiltert. Das CMYK-Farbprofil (Cyan, Magenta, Yellow, Black) ist das aktuelle Farbmodell für den Vierfarbdruck. Schwarz kommt dazu, weil die Mischung von Cyan, Magenta und Yellow eher einen dunklen Braunton ergibt. Auch bei der ungerichteten Reflexion von Licht an einem Gegenstand werden Farbanteile herausgefiltert. Zum Beispiel werden bei einer Tomate grüne und blaue Farbanteile herausgefiltert. Die restlichen reflektierten Farbanteile ergeben in der Addition Rot.   Bei der additiven Farbmischung werden alle Farben des Farbkreises durch Mischung der Farben Rot, Grün und Blau erzeugt. Bei der subtraktiven Farbmischung werden alle Farben des Farbkreises durch Mischung der Farben Gelb, Cyan und Magenta erzeugt. ",,[],[],,,"['"" Cyan ""']",SENTENCE,16
2224,5CG1Bfk2A28P4zRQEgJsz,DE,r_8437c943_93f2_4bfe_9d29_81cfdb260b8d_3,"Welche Farbe muss man aus weißem Licht herausfiltern, um Cyan zu erhalten?","  Auf Smartphonedisplays gelingt es, Farben brillant darzustellen. Ein in einem Buch abgedrucktes Bild zeigt ebenfalls leuchtende Farben. Welche Technik steckt jeweils hinter der Darstellung der Farben?   Lampen mit grünem, rotem und blauem Licht erzeugen farbige Flecke auf einer Wand. Dort, wo sich die Flecke überschneiden, ergeben sich neue Farben. Das Übereinanderstrahlen verschiedener Lichtfarben nennt man additive Farbmischung . Wird grünes mit rotem Licht gemischt, ergibt sich gelbes Licht. Rot und Blau mischt sich zu Magenta. Grün und Blau ergibt Cyan. Und alle drei Farben zusammen ergeben weißes Licht. Diese sechs Farben lassen sich in einem Farbkreis darstellen. Jede Farbe des Farbkreises lässt sich additiv aus ihren beiden benachbarten Farben mischen. Sich gegenüberliegende Farben dieses Kreises nennt man Komplementärfarben . Sie ergeben bei der Mischung weißes Licht. Die Displays von Smartphones und Monitoren stellen Bilder durch viele einzelne Bildpunkte, sogenannte Pixel, dar. Jedes besteht aus drei Subpixeln, die die Farben Rot, Grün oder Blau darstellen können (RGB-Farb­raum). Aufbau eines Pixels aus drei Subpixeln Die Subpixel sind so klein, dass sie vom Auge nicht getrennt wahrgenommen werden können. Wenn alle Subpixel leuchten, erscheint das Pixel weiß. Wenn nur das rote und grüne Subpixel leuchten, nicht aber das blaue, erscheint das Pixel gelb. Durch unterschiedliche Helligkeiten der Subpixel lassen sich so Pixel in allen Farben erzeugen. Bei der subtraktiven Farbmischung blenden Farbfilter aus weißem Licht bestimmte Farben aus. Beleuchtet man z. B. ein Gelbfilter mit weißem Licht, so lässt es nur die Farbe Gelb passieren. Das Gelbfilter absorbiert die Komplementärfarbe Blau. Mit den Farbfiltern Gelb, Cyan und Magenta können wir subtraktiv Mischfarben erzeugen: Übereinander liegende gelbe und cyanfarbene Filter lassen nur noch Grün hindurch. Magenta und Cyan ergeben Blau, Magenta und Gelb ergeben Rot. Auf diese Weise entsteht derselbe Farbkreis. Das Übereinanderlegen aller drei Filter ergibt Schwarz, denn dann wird das Licht aller Farben herausgefiltert. Das CMYK-Farbprofil (Cyan, Magenta, Yellow, Black) ist das aktuelle Farbmodell für den Vierfarbdruck. Schwarz kommt dazu, weil die Mischung von Cyan, Magenta und Yellow eher einen dunklen Braunton ergibt. Auch bei der ungerichteten Reflexion von Licht an einem Gegenstand werden Farbanteile herausgefiltert. Zum Beispiel werden bei einer Tomate grüne und blaue Farbanteile herausgefiltert. Die restlichen reflektierten Farbanteile ergeben in der Addition Rot.   Bei der additiven Farbmischung werden alle Farben des Farbkreises durch Mischung der Farben Rot, Grün und Blau erzeugt. Bei der subtraktiven Farbmischung werden alle Farben des Farbkreises durch Mischung der Farben Gelb, Cyan und Magenta erzeugt. ",,[],[],,,['Man muss die Farbe Rot herausfiltern. '],SENTENCE,12
2225,8X9EsZitWeJ5w5e4dGkJaI,DE,r_c9df5d43_3d44_410c_ad45_5704fd73a04b_1,"Ergänze folgenden Satz zu der abgebildeten Grafik: Je stärker sich die Teilchen bewegen, desto … ist die Temperatur.","  Wärme verändert die Temperatur Wärme wird zugeführt oder abgegeben. Wenn einem Körper Wärme zugeführt wird, dann steigt seine Temperatur . Wenn ein Körper Wärme abgibt, dann sinkt seine Temperatur. Die Temperatur eines Körpers wird mit einem Thermometer gemessen. Ein Thermometer zeigt uns Temperaturen aber keine Wärme an. In Bild steigt die Temperatur der kalten Hände, weil die Heizung Wärme an die Hände abgibt. Wenn die Jugendlicheim Bild im Winter ins Freie geht und keine Handschuhe trägt, dann geben die Hände Wärme ab. Die Hände werden kalt.   Wärme und Temperatur sind nicht das Gleiche Die Grafik zeigt zwei Wannen mit Wasser. In einer Wanne befindet sich 1 Liter Wasser, in der anderen sind 2 Liter. Beide Wassermengen haben eine Temperatur von 20 ° C und sollen auf 50 ° C erwärmt werden. Die Anfangstemperatur und die Endtemperatur beider Wassermengen sind gleich. Die Wärme, die dafür zugeführt werden muss, ist aber unterschiedlich groß. Bei den 2 Litern Wasser muss mehr Wärme zugeführt werden als bei 1 Liter, um die gleiche Temperatur von 50 ° C zu erreichen. Dieses Beispiel zeigt, dass man zwischen Wärme und Temperatur unterscheiden muss.   Die Brown’sche Bewegung Im Jahre 1827 untersuchte der schottische Botaniker Robert Brown (1773 – 1858) Pollenstaub im Wasser. Im Mikroskop beobachtete er, dass sich der Pollenstaub im Wasser ständig bewegt. Diese Bewegung wurde nach ihm Brown’sche Bewegung genannt. Woher kommt aber diese Bewegung?   der Botaniker der Botaniker: Experte für Pflanzen   der Pollenstaub der Pollenstaub: leichter, flugfähiger, männlicher Samen einer Blüte   Teilchenbewegung Die Brown’sche Bewegung kann mit dem Teilchenmodell erklärt werden: Die Wasserteilchen stoßen ständig gegen die Pollenteilchen und setzen diese in Bewegung.   Temperatur und Telchenbewegung Die Teilchenbewegung hängt mit der Temperatur eines Körpers zusammen: Wenn sich die Temperatur eines Körpers erhöht, dann bewegen sich die Teilchen schneller.   Thermische Energie Die Energie, die in der Bewegung der Teilchen gespeichert ist, wird thermische Energie genannt. Je schneller sich die Teilchen bewegen, desto höher ist die Temperatur und desto höher ist die thermische Energie. Bewegen sich die Teilchen nur langsam, dann hat ein Körper eine niedrigere Temperatur und eine geringere thermische Energie.   Der absolute Nullpunkt Wenn man einen Körper immer weiter abkühlt, dann nimmt die Bewegung seiner Teilchen immer weiter ab. Irgendwann ist es so kalt, dass sich die Teilchen nicht mehr bewegen können. Dann ist die niedrigste Temperatur erreicht, die überhaupt möglich ist. Diese niedrigste Temperatur bezeichnet man als absoluten Nullpunkt . Er liegt bei - 273 , 15 ° C . Den absoluten Nullpunkt wählte Lord Kelvin als Nullpunkt für seine Temperatur-Skala, die Kelvin-Skala ( 0 K = - 273 , 15 ° C ) .   absolut absolut: vollständig, total   Merke: Das Thermometer zeigt Temperaturen an. Wärme wird zugeführt oder abgegeben und verändert damit die Temperatur. Je stärker sich die Teilchen im Inneren eines Körpers bewegen, desto höher ist die Temperatur und die innere Energie des Körpers. ",,[],[],,,"['"" Je stärker sich die Teilchen bewegen, desto höher ist die Temperatur. ""']",SENTENCE,18
2226,6HrnmpY9nRA9CnyKIKYEwQ,DE,r_5026cc1b_c603_4ef3_82e2_4e88a7ef3dba_2,"Erläutere, was die Ursache für die Brown’sche Bewegung ist.","  Wärme verändert die Temperatur Wärme wird zugeführt oder abgegeben. Wenn einem Körper Wärme zugeführt wird, dann steigt seine Temperatur . Wenn ein Körper Wärme abgibt, dann sinkt seine Temperatur. Die Temperatur eines Körpers wird mit einem Thermometer gemessen. Ein Thermometer zeigt uns Temperaturen aber keine Wärme an. In Bild steigt die Temperatur der kalten Hände, weil die Heizung Wärme an die Hände abgibt. Wenn die Jugendlicheim Bild im Winter ins Freie geht und keine Handschuhe trägt, dann geben die Hände Wärme ab. Die Hände werden kalt.   Wärme und Temperatur sind nicht das Gleiche Die Grafik zeigt zwei Wannen mit Wasser. In einer Wanne befindet sich 1 Liter Wasser, in der anderen sind 2 Liter. Beide Wassermengen haben eine Temperatur von 20 ° C und sollen auf 50 ° C erwärmt werden. Die Anfangstemperatur und die Endtemperatur beider Wassermengen sind gleich. Die Wärme, die dafür zugeführt werden muss, ist aber unterschiedlich groß. Bei den 2 Litern Wasser muss mehr Wärme zugeführt werden als bei 1 Liter, um die gleiche Temperatur von 50 ° C zu erreichen. Dieses Beispiel zeigt, dass man zwischen Wärme und Temperatur unterscheiden muss.   Die Brown’sche Bewegung Im Jahre 1827 untersuchte der schottische Botaniker Robert Brown (1773 – 1858) Pollenstaub im Wasser. Im Mikroskop beobachtete er, dass sich der Pollenstaub im Wasser ständig bewegt. Diese Bewegung wurde nach ihm Brown’sche Bewegung genannt. Woher kommt aber diese Bewegung?   der Botaniker der Botaniker: Experte für Pflanzen   der Pollenstaub der Pollenstaub: leichter, flugfähiger, männlicher Samen einer Blüte   Teilchenbewegung Die Brown’sche Bewegung kann mit dem Teilchenmodell erklärt werden: Die Wasserteilchen stoßen ständig gegen die Pollenteilchen und setzen diese in Bewegung.   Temperatur und Telchenbewegung Die Teilchenbewegung hängt mit der Temperatur eines Körpers zusammen: Wenn sich die Temperatur eines Körpers erhöht, dann bewegen sich die Teilchen schneller.   Thermische Energie Die Energie, die in der Bewegung der Teilchen gespeichert ist, wird thermische Energie genannt. Je schneller sich die Teilchen bewegen, desto höher ist die Temperatur und desto höher ist die thermische Energie. Bewegen sich die Teilchen nur langsam, dann hat ein Körper eine niedrigere Temperatur und eine geringere thermische Energie.   Der absolute Nullpunkt Wenn man einen Körper immer weiter abkühlt, dann nimmt die Bewegung seiner Teilchen immer weiter ab. Irgendwann ist es so kalt, dass sich die Teilchen nicht mehr bewegen können. Dann ist die niedrigste Temperatur erreicht, die überhaupt möglich ist. Diese niedrigste Temperatur bezeichnet man als absoluten Nullpunkt . Er liegt bei - 273 , 15 ° C . Den absoluten Nullpunkt wählte Lord Kelvin als Nullpunkt für seine Temperatur-Skala, die Kelvin-Skala ( 0 K = - 273 , 15 ° C ) .   absolut absolut: vollständig, total   Merke: Das Thermometer zeigt Temperaturen an. Wärme wird zugeführt oder abgegeben und verändert damit die Temperatur. Je stärker sich die Teilchen im Inneren eines Körpers bewegen, desto höher ist die Temperatur und die innere Energie des Körpers. ",,[],[],,,"['"" Jeder Körper besteht aus kleinsten Teilchen, die sich bewegen und aneinander stoßen. Diese Teilchenbewegung heißt Brown’sche Bewegung. Je höher die Temperatur eines Körpers ist, desto stärker bewegen sich die Teilchen. ""']",SENTENCE,9
2227,27Qq1erHQdB9qnkggs6u00,DE,r_38c66987_a1e0_4d1b_8fdc_f7eb09f24082_2,"Du nutzt täglich elektrische Energie z. B. beim Trocknen deiner Haare mit einem Haartrockner oder bei der Nutzung deines Computers. Begründe, warum auch diese Energie ihren Ursprung in der Natur hat.","  Es gibt viele Maschinen und Geräte, die unseren Alltag erleichtern oder ihn einfach nur komfortabler machen, z. B. elektrische Küchengeräte, Waschmaschinen, Computer, Mobiltelefone und viele mehr. Alle diese Geräte haben eines gemeinsam: Sie benötigen Energie. Woher nehmen wir diese Energie?   Energiequellen Die wichtigste Energiequelle für die Erde ist die Sonne. Doch die Größe der nutzbaren Energie der Sonne ist abhängig von Ort, Wetter, Tageszeit und Jahreszeit. Eine andere Energiequelle ist die Erdrotation . Die Erdrotation und die Anziehungskraft des Mondes verursachen die Gezeiten. In Verbindung mit der Sonne verursacht die Erdrotation Winde durch die unterschiedliche Erwärmung der Erde. Schließlich steht uns auch noch die Erdwärme zur Verfügung. Dies ist die Energie aus dem Erdinneren.   die Erdrotation die Erdrotation: die Drehung der Erde um die eigene Achse   Regenerative Energiequellen Heute nutzen wir verstärkt sogenannte regenerative (sich erneuernde) Energiequellen . Dazu gehören zum Beispiel Windenergie , Gezeitenenergie , Energie aus Biomasse und Energie aus Wasserkraft . Diese regenerativen Energiequellen sind fast unbegrenzt und erneuern sich immer wieder. Allerdings stehen uns diese regenerativen Energiequellen nicht ohne Weiteres zur Verfügung. So ist zum Beispiel die Windenergie häufig nur dort nutzbar, wo der Wind regelmäßig und stark weht. Früher waren die Kosten sehr hoch für Kraftwerke, die regenerative Energiequellen nutzen. Daher wurden solche Kraftwerke nur selten gebaut. Seit einiger Zeit wird in Deutschland der Ausbau von Kraftwerken mit regenerativen Energiequellen deutlich vorangetrieben. Mit diesen Anstrengungen soll der Anteil der regenerativen Energiequellen in den nächsten Jahren weiter gesteigert werden.   Fossile Brennstoffe Die fossilen Brennstoffe Kohle , Erdgas und Erdöl sind eine wichtige Grundlage unseres hohen Lebensstandards. Doch die begrenzten Vorräte müssen geschont werden. Neben dem Ausbau der Nutzung der regenerativen Energiequellen müssen wir lernen, mit Energie sparsamer umzugehen. Auch sparsamere Motoren, bessere Gebäudedämmungen oder veränderte Lebensgewohnheiten können helfen, die fossilen Energievorräte zu schonen. Die Energie, die in den fossilen Brennstoffen gespeichert ist, hat ihren Ursprung in der Sonnenenergie: Diese Brennstoffe entstanden vor Millionen von Jahren aus den Überresten von Pflanzen und Tieren. Diese waren erst durch die Energie der Sonne lebensfähig, die sie für Wachstumsprozesse benötigten. Man kann also sagen, dass der größte Teil unserer Energie ihren Ursprung in der Sonnenenergie hat. Man spricht bei einem solchen natürlichen Vorkommen von Primärenergie .   Von der Primärenergie zur Nutzenergie Wenn Erdgas in einer Gastherme verbrannt wird, so wird die Primärenergie direkt in die gewünschte Energieform umgewandelt. In diesem Fall ist das die thermische Energie. Die von uns gewünschte Energie nennt man Nutzenergie . In vielen Fällen wird die Primärenergie jedoch nicht direkt in Nutzenergie umgewandelt. Dies verdeutlicht das folgende Beispiel: Kohle wird in einem Kohlekraftwerk verbrannt. Dabei wird Primärenergie teilweise in elektrische Energie umgewandelt. Diese lässt sich leicht in die einzelnen Haushalte transportieren. Dort kann dann die elektrische Energie in die gewünschte Nutzenergie überführt werden. Eine Lampe wandelt zum Beispiel die elektrische Energie in Licht um.   Merke: Jede Art von Energie hat ihren Ursprung in der Natur. Man unterscheidet Primärenergie und Nutzenergie. ",,[],[],,,"['"" Elektrische Energie wird in Kraftwerken erzeugt. Dort werden als Primärenergieträger Stoffe aus der Natur wie Kohle, Erdöl, Erdgas oder radioaktive Materialien eingesetzt. Mit ihrer Hilfe werden Wärme und Bewegungsenergie erzeugt, die schließlich in elektrische Energie umgewandelt werden. Auch elektrische Energie aus Sonnenenergie, Wind oder Wasserkraft hat ihren Ursprung in der Natur. ""']",SENTENCE,31
2228,a4HcdfckiB590dMjGlD11t,DE,r_6e0a74fe_db1e_4829_ae6f_c7275cd869d8_2,"Nenne die Probleme, die bei der Erzeugung elektrischer Energie auftreten.","  Wie ein Wärmekraftwerk funktioniert Ein Wärmekraftwerk sieht kompliziert aus. Kühltürme, Schornsteine und viele andere Gebäude sind über ein großes Gelände verteilt. Doch schon ein einfacher Versuch verdeutlicht, wie ein Wärmekraftwerk funktioniert. In einem Teekessel wird Wasser erwärmt, bis es siedet. Das Wasser wird zu Dampf und treibt ein kleines Turbinenrad an. Verbindet man nun das Turbinenrad mit einem Dynamo, dann dreht er sich und erzeugt elektrische Energie. Die Abläufe des Modellversuchs findest du auch in Wärmekraftwerken. In Wärmekraftwerken wird chemische Energie, die z. B. in Kohle, Erdöl oder Erdgas gespeichert ist, durch Verbrennung zunächst in Wärme und dann in elektrische Energie umgewandelt. Die Grafik zeigt, wie ein Kohlekraftwerk funktioniert.   Energieentwertung Die Umwandlung von Wärme in elektrische Energie gelingt in keinem Wärmekraftwerk vollständig. Bei jeder Energieumwandlung wird auch Wärme frei, die nicht genutzt werden kann. Diese Energie ist entwertet (verleiche die Grafik unten). In modernen Wärmekraftwerken werden rund 40% der eingesetzten chemischen Energie in elektrische Energie umgewandelt. Die restlichen rund 60% sind entwertet.   Kohlekraftwerke Braunkohlekraftwerke und Steinkohlekraftwerke decken etwa die Hälfte des Bedarfs an elektrischer Energie in Deutschland ab. Ein einziges Kraftwerk erzeugt eine elektrische Leistung von 2700 M W . Das reicht aus, um zwei Großstädte mit Strom zu versorgen. Pro Tag werden in einem solchen Kraftwerk rund 70 000 t Braunkohle verbrannt. Das entspricht rund 2000 Lastwagen-Ladungen.   Verstärkung des Treibhauseffekts Bei der Verbrennung von Kohle, Erdöl und Erdgas entstehen große Mengen an Schadstoffen, z. B. Kohlenstoffdioxid, Schwefeldioxid, Stickstoffoxide oder Aschenstaub. Einige Schadstoffe können durch aufwendige Filteranlagen verringert werden. Es gelangen aber trotzdem noch viele Schadstoffe ungehindert in unsere Atmosphäre. Diese Schadstoffe verstärken den Treibhauseffekt.   Merke: In Wärmekraftwerken wird aus chemischer Energie elektrische Energie erzeugt. Bei der Umwandlung wird Energie entwertet und es entstehen Schadstoffe, die den Treibhauseffekt verstärken. ",,[],[],,,"['"" Bei der Erzeugung elektrischer Energie entstehen Schadstoffe, die den Treibhauseffekt verstärken. Außerdem entsteht auch (viel) entwertete Energie. ""']",SENTENCE,10
2229,2NSbJ4DMaCV6GD4niJgZKo,DE,r_3ad544be_f93e_46a5_987d_0013bb651129_2,"Recherchiere, wie ein Gaskraftwerk funktioniert und wie groß der Wirkungsgrad eines Gaskraftwerks ist.","  Wie ein Wärmekraftwerk funktioniert Ein Wärmekraftwerk sieht kompliziert aus. Kühltürme, Schornsteine und viele andere Gebäude sind über ein großes Gelände verteilt. Doch schon ein einfacher Versuch verdeutlicht, wie ein Wärmekraftwerk funktioniert. In einem Teekessel wird Wasser erwärmt, bis es siedet. Das Wasser wird zu Dampf und treibt ein kleines Turbinenrad an. Verbindet man nun das Turbinenrad mit einem Dynamo, dann dreht er sich und erzeugt elektrische Energie. Die Abläufe des Modellversuchs findest du auch in Wärmekraftwerken. In Wärmekraftwerken wird chemische Energie, die z. B. in Kohle, Erdöl oder Erdgas gespeichert ist, durch Verbrennung zunächst in Wärme und dann in elektrische Energie umgewandelt. Die Grafik zeigt, wie ein Kohlekraftwerk funktioniert.   Energieentwertung Die Umwandlung von Wärme in elektrische Energie gelingt in keinem Wärmekraftwerk vollständig. Bei jeder Energieumwandlung wird auch Wärme frei, die nicht genutzt werden kann. Diese Energie ist entwertet (verleiche die Grafik unten). In modernen Wärmekraftwerken werden rund 40% der eingesetzten chemischen Energie in elektrische Energie umgewandelt. Die restlichen rund 60% sind entwertet.   Kohlekraftwerke Braunkohlekraftwerke und Steinkohlekraftwerke decken etwa die Hälfte des Bedarfs an elektrischer Energie in Deutschland ab. Ein einziges Kraftwerk erzeugt eine elektrische Leistung von 2700 M W . Das reicht aus, um zwei Großstädte mit Strom zu versorgen. Pro Tag werden in einem solchen Kraftwerk rund 70 000 t Braunkohle verbrannt. Das entspricht rund 2000 Lastwagen-Ladungen.   Verstärkung des Treibhauseffekts Bei der Verbrennung von Kohle, Erdöl und Erdgas entstehen große Mengen an Schadstoffen, z. B. Kohlenstoffdioxid, Schwefeldioxid, Stickstoffoxide oder Aschenstaub. Einige Schadstoffe können durch aufwendige Filteranlagen verringert werden. Es gelangen aber trotzdem noch viele Schadstoffe ungehindert in unsere Atmosphäre. Diese Schadstoffe verstärken den Treibhauseffekt.   Merke: In Wärmekraftwerken wird aus chemischer Energie elektrische Energie erzeugt. Bei der Umwandlung wird Energie entwertet und es entstehen Schadstoffe, die den Treibhauseffekt verstärken. ",,[],[],,,"['"" Der Wirkungsgrad beträgt bei neuen Anlagen 51% bis 58%. Benutzt man den heißen Dampf für Fernwärme, so werden Wirkungsgrade bis zu 85% erreicht. ""']",SENTENCE,13
2230,59RXfuDkHDL9kD72qQkpCQ,DE,r_ff33dd31_dc2d_46ce_8cb4_f561923572ec_1,"Lies das Material. Gib jeder Person eine begründete Kaufempfehlung für ein neues Auto. Achtung: Dies ist nicht immer eindeutig. Dann kannst du mehrere Autos empfehlen, die passen.","  Material: Rätsel: Welches Auto passt zu wem? Auto A (Benzinmotor) Auto B (Dieselmotor) Auto C (Elektromotor) Auto D (Hybrid) 24000 € 26500 € 36000 € 38000 € 9 , 80 € / 100 km (innerorts) 6 , 10 € / 100 km (innerorts) 4 , 20 € / 100 km (innerorts) 3 , 80 € / 100 km (innerorts) 6 , 30 € / 100 km (außerorts) 4 , 80 € / 100 km (außerorts) 6 , 10 € / 100 km (außerorts) 5 , 80 € / 100 km (außerorts) Ich lebe auf dem Land und fahre täglich mit meinem Auto mehrere Kilometer zur Arbeit. Katrin Berger Ich will für mein Auto möglichst wenig bezahlen. Clemens Maier Ich fahre kurze Strecken. Gelegentlich besuche ich meine weiter entfernt wohnenden Enkelkinder. Manfred Zink Ich möchte keine Schadstoffe mit meinem Auto ausstoßen. Lisa Huth ",,[],[],,,"['"" Eindeutige Kaufempfehlung möglich bei… … Lisa Huth = Auto C. Lisa Huth möchte ein Auto, welches keine Schadstoffe ausstößt, und dies ist nur bei einem Auto mit Elektromotor (Auto C) garantiert. … Katrin Berger = Auto B. Katrin Berger benötigt ein Auto, mit dem sie lange Strecken möglichst kostengünstig zurücklegt. Hier kommt in erster Linie ein Auto mit Dieselmotor (Auto B) infrage. Ein Hybrid-Auto (Auto D) hat zwar geringere Kosten pro 100 km , allerdings steigen diese Kosten auf langen Strecken, da der Fahrteil mit Elektromotor begrenzt ist. Außerdem ist der Anschaffungspreis eines Hybrid-Autos deutlich teurer. Der etwas geringere Anschaffungspreis eines Autos mit Benzinmotor ist hingegen bei einer hohen jährlichen Fahrstrecke schnell eingeholt. ""']",SENTENCE,27
2231,7f9pAtWaOvl75k805g4X65,DE,r_aaa7be90_2b2f_4d03_87ca_e0369f9b6c53_2,Zähle Beispiele für schiefe Ebenen auf.,"  Die schiefe Ebene hilft den Menschen An öffentlichen Gebäuden sind neben Treppen auch Rampen vorhanden. Die Rampen sollen vor allem Menschen mit Rollstuhl den Zugang ins Gebäude erleichtern. Eine Rampe ist ein Beispiel für eine schiefe Ebene.   Rampe die Rampe: schräge Fläche   Die schiefe Ebene untersuchen Mit dem Versuchsaufbau in der Grafik kannst du untersuchen, wie man mithilfe einer schiefen Ebene Kraft sparen kann. Dazu hältst du einen Experimentierwagen mit einem Federkraftmesser auf einer schiefen Ebene fest. Die Zugkraft F Z , die du zum Festhalten benötigst, ist dabei genauso groß wie die Hangabtriebskraft F H , die den Wagen die schiefe Ebene hinunterzieht. Wenn du mit der schiefen Ebene eine Last nach oben transportierst, dann gilt: Je kleiner der Steigungswinkel α ist, desto kleiner ist die Hangabtriebskraft F H und im gleichen Maß die Zugkraft F Z . Mit der schiefen Ebene kann man also Kraft sparen. Allerdings wird der Kraftweg mit kleineren Steigungswinkeln immer größer. Die Goldene Regel der Mechanik gilt auch bei der schiefen Ebene.   Merke: Eine schiefe Ebene hilft, Kraft zu sparen. Sie vergrößert aber den Kraftweg entsprechend. ",,[],[],,,"['"" Mögliche Lösungen: Rampen (schiefe Ebenen) für Rollstühle, Kinderwagen an Treppen und Eingängen; Rampen zum Beladen von Anhängern und Lastwagen, Serpentinenstraßen in den Bergen ""']",SENTENCE,6
